age,hour,num,id
16-20,0,493,16-20+0
16-20,1,253,16-20+1
16-20,10,481,16-20+10
16-20,11,499,16-20+11
16-20,12,636,16-20+12
16-20,13,806,16-20+13
16-20,14,823,16-20+14
16-20,15,1335,16-20+15
16-20,16,1138,16-20+16
16-20,17,1049,16-20+17
16-20,18,1242,16-20+18
16-20,19,1238,16-20+19
16-20,2,119,16-20+2
16-20,20,1104,16-20+20
16-20,21,1011,16-20+21
16-20,22,902,16-20+22
16-20,23,868,16-20+23
16-20,3,62,16-20+3
16-20,4,54,16-20+4
16-20,5,66,16-20+5
16-20,6,67,16-20+6
16-20,7,377,16-20+7
16-20,8,415,16-20+8
16-20,9,531,16-20+9
21-25,0,3550,21-25+0
21-25,1,2203,21-25+1
21-25,10,7495,21-25+10
21-25,11,6998,21-25+11
21-25,12,8411,21-25+12
21-25,13,9234,21-25+13
21-25,14,8921,21-25+14
21-25,15,9545,21-25+15
21-25,16,10535,21-25+16
21-25,17,14094,21-25+17
21-25,18,19199,21-25+18
21-25,19,18328,21-25+19
21-25,2,1231,21-25+2
21-25,20,14489,21-25+20
21-25,21,11034,21-25+21
21-25,22,8421,21-25+22
21-25,23,6256,21-25+23
21-25,3,662,21-25+3
21-25,4,589,21-25+4
21-25,5,1417,21-25+5
21-25,6,2972,21-25+6
21-25,7,7010,21-25+7
21-25,8,15217,21-25+8
21-25,9,15218,21-25+9
26-30,0,7872,26-30+0
26-30,1,4693,26-30+1
26-30,10,26087,26-30+10
26-30,11,23120,26-30+11
26-30,12,26406,26-30+12
26-30,13,28579,26-30+13
26-30,14,27963,26-30+14
26-30,15,28041,26-30+15
26-30,16,31334,26-30+16
26-30,17,43005,26-30+17
26-30,18,70226,26-30+18
26-30,19,65819,26-30+19
26-30,2,2691,26-30+2
26-30,20,45707,26-30+20
26-30,21,31424,26-30+21
26-30,22,21713,26-30+22
26-30,23,13977,26-30+23
26-30,3,1519,26-30+3
26-30,4,1021,26-30+4
26-30,5,2583,26-30+5
26-30,6,9266,26-30+6
26-30,7,25757,26-30+7
26-30,8,56594,26-30+8
26-30,9,56341,26-30+9
31-35,0,6540,31-35+0
31-35,1,4316,31-35+1
31-35,10,33805,31-35+10
31-35,11,26264,31-35+11
31-35,12,29844,31-35+12
31-35,13,31419,31-35+13
31-35,14,30035,31-35+14
31-35,15,29623,31-35+15
31-35,16,33329,31-35+16
31-35,17,52037,31-35+17
31-35,18,77566,31-35+18
31-35,19,71552,31-35+19
31-35,2,2288,31-35+2
31-35,20,45267,31-35+20
31-35,21,29984,31-35+21
31-35,22,19432,31-35+22
31-35,23,11393,31-35+23
31-35,3,1301,31-35+3
31-35,4,1013,31-35+4
31-35,5,4276,31-35+5
31-35,6,12251,31-35+6
31-35,7,28629,31-35+7
31-35,8,64390,31-35+8
31-35,9,64034,31-35+9
36-40,0,3901,36-40+0
36-40,1,1988,36-40+1
36-40,10,20986,36-40+10
36-40,11,17655,36-40+11
36-40,12,20804,36-40+12
36-40,13,20582,36-40+13
36-40,14,19536,36-40+14
36-40,15,20919,36-40+15
36-40,16,23456,36-40+16
36-40,17,37523,36-40+17
36-40,18,57976,36-40+18
36-40,19,45463,36-40+19
36-40,2,968,36-40+2
36-40,20,29322,36-40+20
36-40,21,19170,36-40+21
36-40,22,12046,36-40+22
36-40,23,7310,36-40+23
36-40,3,559,36-40+3
36-40,4,403,36-40+4
36-40,5,2515,36-40+5
36-40,6,9907,36-40+6
36-40,7,21570,36-40+7
36-40,8,51739,36-40+8
36-40,9,47815,36-40+9
41-45,0,2742,41-45+0
41-45,1,1360,41-45+1
41-45,10,12538,41-45+10
41-45,11,10635,41-45+11
41-45,12,12290,41-45+12
41-45,13,12729,41-45+13
41-45,14,11777,41-45+14
41-45,15,11467,41-45+15
41-45,16,14482,41-45+16
41-45,17,21678,41-45+17
41-45,18,33194,41-45+18
41-45,19,25071,41-45+19
41-45,2,641,41-45+2
41-45,20,15684,41-45+20
41-45,21,10020,41-45+21
41-45,22,6835,41-45+22
41-45,23,4522,41-45+23
41-45,3,313,41-45+3
41-45,4,206,41-45+4
41-45,5,966,41-45+5
41-45,6,6580,41-45+6
41-45,7,12432,41-45+7
41-45,8,27842,41-45+8
41-45,9,27532,41-45+9
46-50,0,2865,46-50+0
46-50,1,1873,46-50+1
46-50,10,12347,46-50+10
46-50,11,11612,46-50+11
46-50,12,13937,46-50+12
46-50,13,14325,46-50+13
46-50,14,14212,46-50+14
46-50,15,15459,46-50+15
46-50,16,16679,46-50+16
46-50,17,21797,46-50+17
46-50,18,28777,46-50+18
46-50,19,21397,46-50+19
46-50,2,1107,46-50+2
46-50,20,14899,46-50+20
46-50,21,9960,46-50+21
46-50,22,7125,46-50+22
46-50,23,4826,46-50+23
46-50,3,737,46-50+3
46-50,4,392,46-50+4
46-50,5,905,46-50+5
46-50,6,3722,46-50+6
46-50,7,12429,46-50+7
46-50,8,26649,46-50+8
46-50,9,21393,46-50+9
51-60,0,3757,51-60+0
51-60,1,2587,51-60+1
51-60,10,15699,51-60+10
51-60,11,15587,51-60+11
51-60,12,18100,51-60+12
51-60,13,20815,51-60+13
51-60,14,19912,51-60+14
51-60,15,21497,51-60+15
51-60,16,22745,51-60+16
51-60,17,28525,51-60+17
51-60,18,36309,51-60+18
51-60,19,29756,51-60+19
51-60,2,1200,51-60+2
51-60,20,20214,51-60+20
51-60,21,13451,51-60+21
51-60,22,8652,51-60+22
51-60,23,6643,51-60+23
51-60,3,722,51-60+3
51-60,4,742,51-60+4
51-60,5,2609,51-60+5
51-60,6,8122,51-60+6
51-60,7,11778,51-60+7
51-60,8,22067,51-60+8
51-60,9,18980,51-60+9
60-,0,540,60-+0
60-,1,468,60-+1
60-,10,3888,60-+10
60-,11,3447,60-+11
60-,12,4843,60-+12
60-,13,5794,60-+13
60-,14,5132,60-+14
60-,15,5489,60-+15
60-,16,6062,60-+16
60-,17,7077,60-+17
60-,18,9718,60-+18
60-,19,7383,60-+19
60-,2,166,60-+2
60-,20,4630,60-+20
60-,21,2906,60-+21
60-,22,2214,60-+22
60-,23,1173,60-+23
60-,3,60,60-+3
60-,4,72,60-+4
60-,5,103,60-+5
60-,6,1170,60-+6
60-,7,3749,60-+7
60-,8,7057,60-+8
60-,9,5840,60-+9
